TellerName,ArrivalTime,ServingTime,DepartureTime,WaitingTime,IsLeft
Metehan,1.290919154318343,3.6518482935077525,4.942767447826095,0.0,False
Ahmet,3.907612514963814,19.841559917948867,23.74917243291268,0.0,False
Metehan,6.395679503555641,11.182150509991013,17.577830013546652,0.0,False
Metehan,11.249514868947752,24.690339883364054,48.011753518359434,12.071898766047628,False
Ahmet,13.405170100020634,3.080608330578217,31.689811081948882,15.204032651350033,False
Ahmet,16.38933882881278,14.52149868584306,49.0104855902118,18.099648075555965,False
Metehan,17.55526570903918,6.75902564196476,60.651388164537686,36.33709681353375,False
Ahmet,17.569030701337454,12.578047667066901,66.47041018963984,36.32333182123548,False
Metehan,31.027932632635213,7.0368089329549655,70.2091527984825,32.144411232892324,False
Metehan,34.488986904368744,4.922843646239532,79.82282744162596,40.41099689101769,False
Ahmet,58.86670532595587,45.6817184596413,120.58170225502774,16.033278469430563,False
Metehan,63.17234386552754,13.379575404847301,97.09249431562989,20.540575045255054,False
Metehan,74.89998379538643,8.86389050715729,109.07378705666135,25.30991275411762,False
Metehan,75.70880549658631,16.219976656683418,129.11860289687428,37.18982074360456,False
Ahmet,75.82561061623795,30.47100463126651,155.84390022084438,49.54728497333993,False
Metehan,83.71291891078259,5.85206739847659,137.02743143345393,47.46244512419476,False
Metehan,86.93442186548329,8.829541787992476,148.84780130684788,53.08383765337213,False
Metehan,104.52652029826953,0.11978304982860177,153.95871126902082,49.31240792092268,False
Metehan,107.45788706827486,17.938518616405016,173.80694136783947,48.410535683159594,False
Ahmet,125.37289558957788,20.973451210297206,176.84187396173166,30.49552716185657,False
Metehan,126.3025351446943,16.10378066562369,190.46900555625902,48.062689745941015,False
Ahmet,126.96116192119558,1.4279621967917187,181.39174764687564,53.002623528888336,False
Ahmet,127.03451156164158,8.042593223362758,190.62798364461622,55.550878859611885,False
Metehan,140.01825951885542,2.61683724837264,193.36792117496475,50.7328244077367,False
Ahmet,144.01000914021964,2.7156585448710713,193.4667424714632,46.74107478637248,False
Metehan,153.8389282191922,30.959007709843235,224.37596401254672,39.57802808351127,False
Ahmet,155.86842275143445,19.56372655138626,214.68540099341334,39.253251690592634,False
Ahmet,162.26025672095778,4.099613068591974,222.68753322928194,56.32766343973219,False
Metehan,165.2657342494205,5.404649273569978,231.10164465036283,60.43126112737235,False
Metehan,190.75108392659212,1.2609786840498303,235.00767140653724,42.99560879589529,False
Metehan,203.43732697036185,4.933388077152712,241.37697822240847,33.00626317489392,False
,23.32141363499538,0,0,0,1
,28.609202751370667,0,0,0,1
,36.4023578802862,0,0,0,1
,37.80745028163312,0,0,0,1
,39.30903419920313,0,0,0,1
,53.89236252257293,0,0,0,1
,86.19892711303443,0,0,0,1
,86.39472291835732,0,0,0,1
,87.89987355201403,0,0,0,1
,90.97394606399365,0,0,0,1
,91.9587675454322,0,0,0,1
,100.20989654950405,0,0,0,1
,101.23731195574913,0,0,0,1
,105.44904132220172,0,0,0,1
,112.89862624019086,0,0,0,1
,114.9294983750553,0,0,0,1
,117.7572179666547,0,0,0,1
,117.77601047087282,0,0,0,1
,117.90463427070557,0,0,0,1
,128.65200538798928,0,0,0,1
,131.17536403497735,0,0,0,1
,133.25710443627202,0,0,0,1
,140.21064814399324,0,0,0,1
,141.87180036563848,0,0,0,1
,145.28877307958734,0,0,0,1
,146.8972210420466,0,0,0,1
,155.89994357370696,0,0,0,1
,159.73748200505102,0,0,0,1
,162.4734706708714,0,0,0,1
,174.36522489063532,0,0,0,1
,182.58539042125346,0,0,0,1
,185.7629778057624,0,0,0,1
,187.27522371196227,0,0,0,1
,188.47802229636454,0,0,0,1
,189.71712851760475,0,0,0,1
,193.41695630270348,0,0,0,1
,195.12167444202709,0,0,0,1
,198.07875564363226,0,0,0,1
,204.96837185430556,0,0,0,1
,220.79479395341272,0,0,0,1
,236.44359014525577,0,0,0,1
